CCAA,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA
Thu Feb 20 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.004973722167879702
Fri Feb 21 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.03315814778586468
Sat Feb 22 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.1027902581361805
Sun Feb 23 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.25697564534045125
Mon Feb 24 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.01998493535572885,0.004246248800116245,0.3796607921481506
Tue Feb 25 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.0399698707114577,0.012738746400348736,0.5338461793524214
Wed Feb 26 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.0399698707114577,0.027600617200755594,0.751032047349835
Thu Feb 27 2020 00:00:00 GMT+0100 (Central European Standard Time),0.02624846216822272,0.030014734233035,0,0.17986441820155966,0.03184686600087184,1.0859293399870684
Fri Feb 28 2020 00:00:00 GMT+0100 (Central European Standard Time),0.03937269325233408,0.07503683558258749,0,0.21983428891301734,0.06793998080185992,1.4722217616923918
Sat Feb 29 2020 00:00:00 GMT+0100 (Central European Standard Time),0.03937269325233408,0.07503683558258749,0,0.3197589656916616,0.09554059800261552,1.870119535122768
Sun Mar 01 2020 00:00:00 GMT+0100 (Central European Standard Time),0.07874538650466816,0.15007367116517498,0.1358833504848318,0.3197589656916616,0.1783424496048823,2.8084951174627384
Mon Mar 02 2020 00:00:00 GMT+0100 (Central European Standard Time),0.19686346626167037,0.43521364637900745,0.40765005145449534,0.3197589656916616,0.2547749280069747,3.375499444601025
Tue Mar 03 2020 00:00:00 GMT+0100 (Central European Standard Time),0.19686346626167037,0.510250481961595,0.5888278521009378,0.3197589656916616,0.35031552600959026,4.148084288011672
Wed Mar 04 2020 00:00:00 GMT+0100 (Central European Standard Time),0.19686346626167037,1.050515698156225,0.679416752424159,0.39969870711457706,0.4713336168129032,5.1212759255268
Thu Mar 05 2020 00:00:00 GMT+0100 (Central European Standard Time),0.19686346626167037,1.050515698156225,0.7700056527473802,0.5595781899604079,0.5498892196150538,6.396206707893296
Fri Mar 06 2020 00:00:00 GMT+0100 (Central European Standard Time),0.19686346626167037,2.6112818782740446,0.7700056527473802,0.5795631253161367,0.849249760023249,7.686058656763433
Sat Mar 07 2020 00:00:00 GMT+0100 (Central European Standard Time),0.3149815460186726,3.0314881575365344,2.0382502572724768,0.7394426081619675,1.0615622000290612,9.753469171212096
Sun Mar 08 2020 00:00:00 GMT+0100 (Central European Standard Time),0.6430873231214566,3.0314881575365344,4.620033916484281,0.8393672849406117,1.4288627212391165,12.2270669960376
Mon Mar 09 2020 00:00:00 GMT+0100 (Central European Standard Time),0.984317331308352,7.038455177646707,6.748873074079979,0.9992467677864426,2.2781124812623657,15.206326574597544
Tue Mar 10 2020 00:00:00 GMT+0100 (Central European Standard Time),1.6274046544298086,11.735761085116684,8.832417781514067,1.2990207981223754,3.598695858098518,16.826102093937035
Wed Mar 11 2020 00:00:00 GMT+0100 (Central European Standard Time),2.0473800491213723,15.36754392731392,10.191251286362384,1.5188550870353927,4.834354258932345,20.660841885372285
Thu Mar 12 2020 00:00:00 GMT+0100 (Central European Standard Time),3.4123000818689535,20.830225557726287,15.671879755917267,1.9984935355728852,4.834354258932345,20.660841885372285
Fri Mar 13 2020 00:00:00 GMT+0100 (Central European Standard Time),4.14725702257919,29.864660561869822,18.88778571739162,3.0377101740707855,11.108186861104098,29.278644494918513
Sat Mar 14 2020 00:00:00 GMT+0100 (Central European Standard Time),9.383825225139622,44.12165932256144,23.59840853419912,3.8371075882999395,13.56888804077146,35.076346635276956
Sun Mar 15 2020 00:00:00 GMT+0100 (Central European Standard Time),11.851180668952559,53.186109060938016,28.53550360181468,8.133868689781643,16.55612407165324,41.02823416283966
Mon Mar 16 2020 00:00:00 GMT+0100 (Central European Standard Time),18.295178131251234,73.10088522455673,34.65025437363211,10.27225677284463,21.108102785377856,46.38824875242469
Tue Mar 17 2020 00:00:00 GMT+0100 (Central European Standard Time),24.489815202951796,84.59652843580913,44.07150000724711,10.81185002744931,24.942465451882825,52.234030207072635
Wed Mar 18 2020 00:00:00 GMT+0100 (Central European Standard Time),35.46167238926889,101.70492694863908,53.900395692316614,14.509063068259147,29.53266040480849,59.208846593829264
Thu Mar 19 2020 00:00:00 GMT+0100 (Central European Standard Time),42.91623564504415,107.52778538984788,66.35636948675952,18.40612546262627,38.13768359824405,68.03222971964786
Fri Mar 20 2020 00:00:00 GMT+0100 (Central European Standard Time),55.16114324652004,133.8807220464526,78.13292652877828,22.08335356808038,43.332969005186285,77.95646335195715
Sat Mar 21 2020 00:00:00 GMT+0100 (Central European Standard Time),61.73638301965983,145.60147576445277,94.98246198889743,27.239466889858424,53.8721585270748,88.8273621035529
Sun Mar 22 2020 00:00:00 GMT+0100 (Central European Standard Time),77.7610691733598,158.70290725717254,109.65786384125926,32.05583631058908,71.78071284156508,98.04532718802328
Mon Mar 23 2020 00:00:00 GMT+0100 (Central European Standard Time),103.20895324545172,185.37099862322412,123.5632600408737,37.99136211124055,84.23071432350591,105.98504567534857
Tue Mar 24 2020 00:00:00 GMT+0100 (Central European Standard Time),130.4154842828146,219.06253779980594,148.15814647862825,43.30735491586442,101.08195268676721,114.68740156174876
