,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
20/02/2020,,,,,,3
21/02/2020,,,,,,20
22/02/2020,,,,,,62
23/02/2020,,,,,,155
24/02/2020,,,,1,2,229
25/02/2020,,,,2,6,322
26/02/2020,,,,2,13,453
27/02/2020,2,2,,9,15,655
28/02/2020,3,5,,11,32,888
29/02/2020,3,5,,16,45,1128
01/03/2020,6,10,3,16,84,1694
02/03/2020,15,29,9,16,120,2036
03/03/2020,15,34,13,16,165,2502
04/03/2020,15,70,15,20,222,3086
05/03/2020,15,70,17,28,259,3838
06/03/2020,15,174,17,29,400,4574
07/03/2020,24,202,45,37,500,5728
08/03/2020,49,202,102,41,671,7146
09/03/2020,75,469,149,48,1067,8850
10/03/2020,124,782,195,63,1682,9696
11/03/2020,154,1022,225,67,2262,11807
12/03/2020,257,1383,346,89,2245,11574
13/03/2020,313,1985,417,136,5187,16532
14/03/2020,709,2930,518,176,6307,19463
15/03/2020,888,3515,621,391,7678,22711
16/03/2020,1379,4837,752,498,9777,25478
17/03/2020,1851,5567,958,521,11526,28420
18/03/2020,2687,6707,1173,698,13651,31875
19/03/2020,3255,6991,1448,892,17563,36461
20/03/2020,4179,8719,1680,1.068,19910,41293
21/03/2020,4655,9500,1995,1.322,24703,46432
22/03/2020,5850,10106,2272,1.556,32742,50288
23/03/2020,7740,11570,2533,1.838,37991,54231
24/03/2020,,,,2.100,,
