CCAA,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA
1,0.02624846216822272,0.030014734233035,0.1358833504848318,0.01998493535572885,0.004246248800116245,0.004973722167879702
2,0.03937269325233408,0.07503683558258749,0.40765005145449534,0.0399698707114577,0.012738746400348736,0.03315814778586468
3,0.03937269325233408,0.07503683558258749,0.5888278521009378,0.0399698707114577,0.027600617200755594,0.1027902581361805
4,0.07874538650466816,0.15007367116517498,0.679416752424159,0.17986441820155966,0.03184686600087184,0.25697564534045125
5,0.19686346626167037,0.43521364637900745,0.7700056527473802,0.21983428891301734,0.06793998080185992,0.3796607921481506
6,0.19686346626167037,0.510250481961595,0.7700056527473802,0.3197589656916616,0.09554059800261552,0.5338461793524214
7,0.19686346626167037,1.050515698156225,2.0382502572724768,0.3197589656916616,0.1783424496048823,0.751032047349835
8,0.19686346626167037,1.050515698156225,4.620033916484281,0.3197589656916616,0.2547749280069747,1.0859293399870684
9,0.19686346626167037,2.6112818782740446,6.748873074079979,0.3197589656916616,0.35031552600959026,1.4722217616923918
10,0.3149815460186726,3.0314881575365344,8.832417781514067,0.39969870711457706,0.4713336168129032,1.870119535122768
11,0.6430873231214566,3.0314881575365344,10.191251286362384,0.5595781899604079,0.5498892196150538,2.8084951174627384
12,0.984317331308352,7.038455177646707,15.671879755917267,0.5795631253161367,0.849249760023249,3.375499444601025
13,1.6274046544298086,11.735761085116684,18.88778571739162,0.7394426081619675,1.0615622000290612,4.148084288011672
14,2.0473800491213723,15.36754392731392,23.59840853419912,0.8393672849406117,1.4288627212391165,5.1212759255268
15,3.4123000818689535,20.830225557726287,28.53550360181468,0.9992467677864426,2.2781124812623657,6.396206707893296
16,4.14725702257919,29.864660561869822,34.65025437363211,1.2990207981223754,3.598695858098518,7.686058656763433
17,9.383825225139622,44.12165932256144,44.07150000724711,1.5188550870353927,4.834354258932345,9.753469171212096
18,11.851180668952559,53.186109060938016,53.900395692316614,1.9984935355728852,4.834354258932345,12.2270669960376
19,18.295178131251234,73.10088522455673,66.35636948675952,3.0377101740707855,11.108186861104098,15.206326574597544
20,24.489815202951796,84.59652843580913,78.13292652877828,3.8371075882999395,13.56888804077146,16.826102093937035
21,35.46167238926889,101.70492694863908,94.98246198889743,8.133868689781643,16.55612407165324,20.660841885372285
22,42.91623564504415,107.52778538984788,109.65786384125926,10.27225677284463,21.108102785377856,20.660841885372285
23,55.16114324652004,133.8807220464526,123.5632600408737,10.81185002744931,24.942465451882825,29.278644494918513
24,61.73638301965983,145.60147576445277,0,14.509063068259147,29.53266040480849,35.076346635276956
25,77.7610691733598,158.70290725717254,0,18.40612546262627,38.13768359824405,41.02823416283966
26,103.20895324545172,185.37099862322412,0,22.08335356808038,43.332969005186285,46.38824875242469
27,0,0,0,27.239466889858424,53.8721585270748,52.234030207072635
28,0,0,0,32.05583631058908,71.78071284156508,59.208846593829264
29,0,0,0,37.99136211124055,84.23071432350591,68.03222971964786
30,0,0,0,0,0,77.95646335195715
31,0,0,0,0,0,88.8273621035529
32,0,0,0,0,0,98.04532718802328
Mon Mar 23 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,0,105.98504567534857
Tue Mar 24 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
