,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020
Domicili,,,,,,,,,,,,,,,,,,,,,,,,22,25,32,45,53,75,117,146,,,381,434,577,672,810,912,1.093
Ingrés,,,,,,,,,,,,,,,,,,,,,,,,13,15,16,18,21,23,29,39,,,99,212,240,307,392,477,537
Ingrés UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,36,40,59,71,84,113,138
Morts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,13,13,22,24,33,50,69,94
Altes,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,12,12,16,19,20,25,30,36
CASOS ACTIUS,,,,,,,,,,,,,,,,,,,,,,,,35,40,48,63,74,98,148,188,0,0,516,686,876,1.050,1.286,1.502,1.768
CASOS POSITIUS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,9,11,16,16,16,16,20,28,29,37,42,50,65,76,100,152,192,5,25,541,726,921,1.105,1.363,1.604,1.901
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consistència de dades,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Falten: 402,Falten: 489,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte
