,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020
Domicili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,195,197,257,278,295
Ingrés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,88,101,127,156,176,204
Ingrés UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,24,24,27,33,42
Morts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,NA,NA,11,11,17,30,40,50
Altes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,9,10,12
TOTAL POSITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,10,14,16,18,20,26,40,58,152,194,186,293,338,372,479,537,603
TOTAL ACTIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,320,348,440,487,541
